,company,title,location,skills,joblinks
0,Native Instruments,Data Analyst - Digital Marketing (all genders),,,https://de.linkedin.com/jobs/view/data-analyst-digital-marketing-all-genders-at-native-instruments-3504433549?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=FIPQMwe01M6OVotLpONypg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card
1,MOIA,(Senior) Data Analyst for Marketing or Sales Analytics (m/f/d),,,https://de.linkedin.com/jobs/view/senior-data-analyst-for-marketing-or-sales-analytics-m-f-d-at-moia-3555162402?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=GAI%2BM%2B%2FTiFTO6Py0EfNznw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card
2,Picsart,"Senior Data Analyst, Paid Marketing",,,https://de.linkedin.com/jobs/view/senior-data-analyst-paid-marketing-at-picsart-3437436734?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=gwz7Ruu6gSCt5%2FDEWooSEw%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card
3,Michael Page,Data Marketing Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/data-marketing-analyst-m-w-d-at-michael-page-3542556876?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=GC2wUq%2FMuhVN0I0QNyknBA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card
4,Coca-Cola Europacific Partners,Digital Performance Marketing Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/digital-performance-marketing-analyst-m-w-d-at-coca-cola-europacific-partners-3558721940?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=kyQT0gMt7s9yKpXMiRkmOQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
5,Peak Ace AG,Junior Digital Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/junior-digital-analyst-m-w-d-at-peak-ace-ag-3550774872?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=e8eC7BO1nBbx%2FgbYaveXqQ%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card
6,NinjaOne,Marketing Data Analyst,,,https://de.linkedin.com/jobs/view/marketing-data-analyst-at-ninjaone-3556284202?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=zlwqj0YGZPBbrmf9UiFTtQ%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card
7,Thomann.io,(Senior) Digital Analyst (f/m/x) for Tech & Data Team,,,https://de.linkedin.com/jobs/view/senior-digital-analyst-f-m-x-for-tech-data-team-at-thomann-io-3560082732?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=U3zfhQivp8VTX8nU3%2B43%2BQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card
8,Kolibri Games,Game Data Analyst (f/m/d),,,https://de.linkedin.com/jobs/view/game-data-analyst-f-m-d-at-kolibri-games-3522253806?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=hbXCPhlbFkSGoaaZA4fA3g%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
9,Timeless Investments,Business Data Analyst (d/f/m),,,https://de.linkedin.com/jobs/view/business-data-analyst-d-f-m-at-timeless-investments-3518141874?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=F13kYSGd4igVwMLqJK3nwA%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
10,Bundesdruckerei-Gruppe,BI-Analyst/ Data Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/bi-analyst-data-analyst-m-w-d-at-bundesdruckerei-gruppe-3437335686?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=6qaB2gTFnvPInhAVBMB6Cg%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card
11,SPRK.global,Business Analyst / Odoo & Data (m/f/d),,,https://de.linkedin.com/jobs/view/business-analyst-odoo-data-m-f-d-at-sprk-global-3428748971?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=j9B7RZGpLh%2F5Kqy8ycaJEQ%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card
12,denkwerk,Data Analyst (m/w/d) Online Marketing,,,https://de.linkedin.com/jobs/view/data-analyst-m-w-d-online-marketing-at-denkwerk-3554745741?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=MZhtmHyfr6tbiE6eMZAHKA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card
13,Pitch,Senior Data Analyst,,,https://de.linkedin.com/jobs/view/senior-data-analyst-at-pitch-3555228019?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=G9qb2Y%2F%2FfKwiaX6GBp9CtQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
14,Wolt,Senior Data Analyst,,,https://de.linkedin.com/jobs/view/senior-data-analyst-at-wolt-3542088593?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=wPCw4BPQCM1TPoNu1M8BTw%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
15,Pitch,Senior Data Analyst (m/f/d),,,https://de.linkedin.com/jobs/view/senior-data-analyst-m-f-d-at-pitch-3544075159?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=gV2ZzNNrn3vF%2FiXUl9na7A%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card
16,Michael Page,Data Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/data-analyst-m-w-d-at-michael-page-3535007056?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=Q5a5jcRNXW9khDyBW4gNFg%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card
17,SPRK.global,Business Analyst / Odoo & Data - all genders,,,https://de.linkedin.com/jobs/view/business-analyst-odoo-data-all-genders-at-sprk-global-3542785538?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=m6AmvYuaKHqy5PIfEUGeNQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
18,Caspar Health,(Senior) Data Analyst (all genders),,,https://de.linkedin.com/jobs/view/senior-data-analyst-all-genders-at-caspar-health-3542462326?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=RaG%2BPSKbPEkOnjIrkcCIqQ%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card
19,NEW YORKER,BI DATA ANALYST / BUSINESS ANALYST* SCHWERPUNKT MICROSOFT,,,https://de.linkedin.com/jobs/view/bi-data-analyst-business-analyst-schwerpunkt-microsoft-at-new-yorker-3458767839?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=kuBbZhg0vAEvD94ayC7D5g%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card
20,SumUp,Senior Data Analyst,,,https://de.linkedin.com/jobs/view/senior-data-analyst-at-sumup-3502382317?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=yGOqaRK5DchUtBhG9rkcBg%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card
21,Kolibri Games,(Senior) Game Data Analyst (f/m/d),,,https://de.linkedin.com/jobs/view/senior-game-data-analyst-f-m-d-at-kolibri-games-3522255189?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=6nu5WOmXqbEf2R5KhkCX%2BQ%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card
22,DKB | Deutsche Kreditbank AG,Business & Data Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/business-data-analyst-m-w-d-at-dkb-deutsche-kreditbank-ag-3523343007?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=9iL3GCOZ6cqx4z1qElqAkQ%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card
23,Avea Life,Performance Marketing Analyst,,,https://de.linkedin.com/jobs/view/performance-marketing-analyst-at-avea-life-3532067059?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=1KXiH4Z81QAEJsjvL1GMgA%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
24,Wolt,Senior Data Analyst (Courier & Logistics),,,https://de.linkedin.com/jobs/view/senior-data-analyst-courier-logistics-at-wolt-3539299704?refId=XuAbzTGYkmM75zlpDePduA%3D%3D&trackingId=dl7tR2gKSpibc7rToncF7Q%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
25,Agoda,"Data Analyst (Bangkok Based, Relocation Provided)",,,https://de.linkedin.com/jobs/view/data-analyst-bangkok-based-relocation-provided-at-agoda-3557538588?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=0PSg3JRnu7iGjYSei6Q0YA%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card
26,publicplan GmbH,Business Analyst (m/w/d) Business Intelligence- 100% remote,,,https://de.linkedin.com/jobs/view/business-analyst-m-w-d-business-intelligence-100%25-remote-at-publicplan-gmbh-3514262115?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=qJPhEyC2RasEDSLUPErb6Q%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card
27,adesso SE,Business Analyst - Data Analytics Insurance (all genders),,,https://de.linkedin.com/jobs/view/business-analyst-data-analytics-insurance-all-genders-at-adesso-se-3546439125?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=Erp4QYdp61XsGQ0bBjpubg%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card
28,Peak Ace AG,Digital Analyst – Marketing Technology (m/w/d),,,https://de.linkedin.com/jobs/view/digital-analyst-%E2%80%93-marketing-technology-m-w-d-at-peak-ace-ag-3542128065?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=PoFv3j798jFHcIs40qMIow%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card
29,Colorful Chairs,Junior SEO Analyst & Consulting (m/w/x),,,https://de.linkedin.com/jobs/view/junior-seo-analyst-consulting-m-w-x-at-colorful-chairs-3516501109?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=%2BjENQqXVSuxZxwWzH%2FxU%2BA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card
30,Agoda,"Customer Insights Analyst (Bangkok Based, Relocation Provided)",,,https://de.linkedin.com/jobs/view/customer-insights-analyst-bangkok-based-relocation-provided-at-agoda-3557536919?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=vvIp3nShC6mCh7%2FLFLxEig%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card
31,INFUSEmedia,Marketing Analyst,,,https://de.linkedin.com/jobs/view/marketing-analyst-at-infusemedia-3530102540?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=f8sv83IorfY45JY%2Fud3s5Q%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card
32,Helios Kliniken GmbH,Business Analyst Microsoft On-Premise (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-microsoft-on-premise-m-w-d-at-helios-kliniken-gmbh-3523534565?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=MSgfxFHuShBaY5WQrTBftA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card
33,Deefinity Digital Consulting GmbH,Agile Business Analyst / Projekt Management / PMO (m/w/d),,,https://de.linkedin.com/jobs/view/agile-business-analyst-projekt-management-pmo-m-w-d-at-deefinity-digital-consulting-gmbh-3557190465?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=%2FvP5IVHaIRnJFWOFHgJghA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card
34,momox,(Senior) Marketing Analyst (m/w/d),,,https://de.linkedin.com/jobs/view/senior-marketing-analyst-m-w-d-at-momox-3553526934?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=g2DblFHcRYHH6Mwz9RFQjA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card
35,Helios Kliniken GmbH,Business Analyst Microsoft Cloud (m/w/d),,,https://de.linkedin.com/jobs/view/business-analyst-microsoft-cloud-m-w-d-at-helios-kliniken-gmbh-3501338804?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=%2F%2FMWXxcQQvK2WtEd5Yezyw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card
36,Agoda,"Senior Data Analyst (Bangkok Based, Relocation Provided)",,,https://de.linkedin.com/jobs/view/senior-data-analyst-bangkok-based-relocation-provided-at-agoda-3557542155?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=k75YZzRL5ySi71mYdgwNXQ%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card
37,Lufthansa Industry Solutions,Business Analyst (all genders) Digitalisierung,,,https://de.linkedin.com/jobs/view/business-analyst-all-genders-digitalisierung-at-lufthansa-industry-solutions-3544454873?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=d%2BWOX00eKKMtk1klYppx3g%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card
38,DKB Service GmbH,(IT-)Business Analyst Risikosysteme,,,https://de.linkedin.com/jobs/view/it-business-analyst-risikosysteme-at-dkb-service-gmbh-3555966349?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=d2xYkrrRLCY7lb3SFCYc5w%3D%3D&position=14&pageNum=1&trk=public_jobs_jserp-result_search-card
39,eBay Kleinanzeigen,Senior Product Analyst Transactions (d/f/m),,,https://de.linkedin.com/jobs/view/senior-product-analyst-transactions-d-f-m-at-ebay-kleinanzeigen-3550748415?refId=rrk8QshgnYuUeKywIY4vAw%3D%3D&trackingId=%2Bbu6kh6lImKJUk%2FDK8OUKQ%3D%3D&position=15&pageNum=1&trk=public_jobs_jserp-result_search-card
